command,mean,stddev,median,user,system,min,max,parameter_size
./Table 1000,0.005765205340857789,0.0007208616971674331,0.005768962,0.002726806997742662,0.00017504843115124155,0.003939962,0.009719262,1000
./Table 2000,0.010986349407407408,0.0038342065122980336,0.010048162,0.006725905555555554,0.00036608279629629626,0.008923962,0.032700862,2000
./Table 3000,0.017792743818181835,0.006635203794954779,0.015847812,0.013262363636363638,0.0004703819805194805,0.014544862,0.055046562,3000
./Table 4000,0.02420550219607845,0.0033658499592186565,0.023693712000000002,0.01972085294117648,0.0005042135784313726,0.021509662000000002,0.048427161999999996,4000
./Table 5000,0.03638540037209302,0.0071149218127433715,0.033810512,0.031367872093023254,0.0009845618023255815,0.032325162,0.059651362,5000
./Table 6000,0.04804839970491803,0.004990100257782536,0.046206062,0.04313254918032787,0.000819578606557377,0.044714262,0.067166762,6000
./Table 7000,0.06343614285106383,0.005340712294606012,0.061239762,0.05893913829787233,0.0006541389361702128,0.059024262,0.08445466200000001,7000
./Table 8000,0.10844913441379311,0.008772215677023215,0.10829516200000001,0.10291084482758618,0.0010649493103448275,0.092585762,0.12164876200000001,8000
./Table 9000,0.11785388018181817,0.007410317254158065,0.114747312,0.11255499999999997,0.0008878413636363637,0.110967962,0.136310062,9000
./Table 10000,0.14221146676190477,0.008843195176828121,0.140699762,0.13745364285714284,0.0005050719047619048,0.129254062,0.166453162,10000
./Table 11000,0.17165856825000003,0.011494924338186182,0.168441662,0.167269375,0,0.160621662,0.206171762,11000
./Table 12000,0.20130322033333328,0.01323883875389917,0.199071462,0.19607266666666665,0.001009085,0.187405362,0.234002862,12000
./Table 13000,0.25048581200000003,0.00711719224381742,0.248480512,0.24634441666666665,0,0.240937162,0.26494676200000006,13000
./Table 14000,0.25807416200000005,0.010103267822728343,0.25460401200000005,0.2524542,0.0010783510000000002,0.24684156200000001,0.28271426200000005,14000
./Table 15000,0.2968893920000001,0.013491180819833535,0.29408486200000006,0.29231119999999994,0.000180151,0.28213496200000004,0.322480262,15000
./Table 16000,0.32345497200000006,0.014823671843781179,0.31823901200000004,0.31822510000000004,0.0010070255,0.31527836200000003,0.364677762,16000
./Table 17000,0.391933902,0.015126509953441197,0.39067416200000005,0.3844315,0.0031937275,0.37168186200000003,0.419610562,17000
./Table 18000,0.460137062,0.02691555223430828,0.45437456200000004,0.45420229999999995,0.0019934510000000003,0.43104876200000003,0.510851562,18000
./Table 19000,0.513065202,0.03270560906576524,0.507920362,0.5048722999999999,0.0039851765,0.47346156200000006,0.580105262,19000
./Table 20000,0.568877082,0.057558463456381055,0.543731312,0.5495454999999999,0.014943929499999998,0.513156162,0.707399562,20000
./Table 21000,0.645768292,0.03961627574475617,0.646261812,0.6275805999999998,0.013969303999999998,0.598520062,0.731891362,21000
./Table 22000,0.654828112,0.024082875775457365,0.657204312,0.6333521999999999,0.017066803999999998,0.629664462,0.7074677620000001,22000
./Table 23000,0.795685202,0.09124499154979776,0.780023162,0.7691117,0.022032504,0.690286662,1.028776062,23000
./Table 24000,0.8000034619999999,0.04199089042772649,0.791849962,0.7803532999999999,0.015141204,0.7540358620000001,0.864858062,24000
./Table 25000,0.8993491520000001,0.11252310808081899,0.8715561620000001,0.8637938000000001,0.031070529500000006,0.818825262,1.206234462,25000
./Table 26000,0.9119752520000001,0.02298802821274344,0.906292262,0.8717216999999999,0.036008555000000005,0.8792543620000001,0.954306962,26000
./Table 27000,1.033893382,0.06060890903954629,1.022413962,0.9874587,0.042221154999999996,0.973364862,1.153233762,27000
./Table 28000,1.1620815320000002,0.10347544297869855,1.125675562,1.102447,0.055103455,1.0633847619999999,1.400866062,28000
./Table 29000,1.2482855019999999,0.11192660837408094,1.226792962,1.1778745,0.066048855,1.133176162,1.486973562,29000
./Table 30000,1.343543202,0.13270159323314848,1.292842962,1.2829962,0.05604515499999999,1.2444394619999999,1.657364262,30000
