command,mean,stddev,median,user,system,min,max,parameter_size
./Table 1000,0.007288928937365015,0.0007371366579839416,0.007246246000000001,0.003990594384449245,0.00029181885529157666,0.005629946,0.010594046000000001,1000
./Table 2000,0.014878926104712042,0.0029399024231788052,0.014548646000000002,0.010592612565445025,0.0006942760209424081,0.013249946,0.051087246,2000
./Table 3000,0.026708065658119656,0.004489978586851622,0.025846846,0.02221863076923077,0.000690214829059829,0.024588146,0.061638846000000004,3000
./Table 4000,0.042496648898550725,0.004995025387410342,0.041390746,0.037628486956521746,0.0009509210144927535,0.039831846000000004,0.07261094600000001,4000
./Table 5000,0.0623749085,0.0038532544832948572,0.061524046,0.05832269166666667,0.0001857564583333333,0.059994846000000004,0.08632914600000001,5000
./Table 6000,0.08820437024242424,0.0061795924011029185,0.085906746,0.08364115757575757,0.0005799184848484847,0.084234446,0.107054146,6000
./Table 7000,0.13208186028571434,0.005458909911354623,0.131236546,0.1263739714285714,0.001378855476190476,0.12568994600000002,0.15237954600000003,7000
./Table 8000,0.17076984011764712,0.006442344185685691,0.16954934600000002,0.16547657647058822,0.00121843,0.16149104600000003,0.19040304600000002,8000
./Table 9000,0.21297338446153846,0.0073005092320717006,0.210300846,0.20772409230769234,0.0007424349999999998,0.20431854600000002,0.22840414600000003,9000
./Table 10000,0.260081246,0.005948314874147127,0.259840546,0.2560246727272727,0,0.25120144600000005,0.270608746,10000
./Table 11000,0.314578846,0.010353934805452249,0.310866046,0.3093145,0.0010659309999999998,0.30545824600000004,0.33509394600000003,11000
./Table 12000,0.371675576,0.009499535417651861,0.369435296,0.3673603,0.00008106549999999999,0.361299546,0.388149546,12000
./Table 13000,0.4319769560000001,0.011526988518973883,0.4290616460000001,0.4277978,0,0.41857004600000003,0.45220684600000005,13000
./Table 14000,0.499647076,0.017336578679905526,0.49387744600000005,0.4953247,0.0000934655,0.48274184600000003,0.534767746,14000
./Table 15000,0.5868251959999999,0.019271095606071112,0.586681046,0.5793750999999999,0.0030022965,0.565692246,0.613724246,15000
./Table 16000,0.6654768260000001,0.0235162233115212,0.658887046,0.6601784,0.0009923654999999998,0.639766646,0.706794446,16000
./Table 17000,0.8013240859999999,0.07601252937476383,0.7842637960000001,0.7949624,0.0019884309999999997,0.733525346,0.990002446,17000
./Table 18000,0.823718996,0.032306427840954145,0.815517296,0.8145304999999998,0.0050793274999999995,0.782877846,0.882785646,18000
./Table 19000,0.900189406,0.017606000881845805,0.903863996,0.8897618999999999,0.006099327499999999,0.870782546,0.930841346,19000
./Table 20000,1.0238526159999999,0.04590390948460951,1.007059246,1.0141963999999999,0.005213962,0.980374046,1.107203546,20000
./Table 21000,1.091479256,0.020670177205790435,1.084358796,1.0792829000000002,0.008106893,1.068370246,1.127121446,21000
./Table 22000,1.2074528560000002,0.016265643901894025,1.2043339460000002,1.1908646,0.013002824,1.187478446,1.231685146,22000
./Table 23000,1.394107656,0.06194917334915152,1.3910424460000002,1.370044,0.0200120895,1.316077946,1.5427824460000001,23000
./Table 24000,1.504137876,0.024607258507063454,1.5073357960000002,1.4739536,0.0259909895,1.467320146,1.5468304460000002,24000
./Table 25000,1.642494486,0.02539157075090515,1.6365368460000003,1.6091193000000001,0.0290568895,1.6111189460000002,1.687731346,25000
./Table 26000,1.791165986,0.018812760203365506,1.788924196,1.7486074999999999,0.038116254999999995,1.752611846,1.817481846,26000
./Table 27000,1.9334070360000002,0.0241331107008354,1.932801596,1.8839067000000003,0.04503335499999999,1.8912978460000003,1.972899546,27000
./Table 28000,2.1634934359999995,0.18599241824196586,2.1004542959999997,2.1030992,0.05606085500000001,2.055745246,2.671154746,28000
./Table 29000,2.230512836,0.02235379568626365,2.232096996,2.160426,0.065983355,2.191018346,2.260470146,29000
./Table 30000,2.622852236,0.3929454815405835,2.421158346,2.5348019,0.08402775500000001,2.356391446,3.609494846,30000
