command,mean,stddev,median,user,system,min,max,parameter_size
./Table 1000,0.036840675492753626,0.008528354614103738,0.040130661,0.02195767014492754,0.0037722721014492758,0.015204061000000001,0.052767761,1000
./Table 2000,0.056856223244897953,0.023334704437689653,0.055195561000000004,0.04670096061224489,0.0030996528061224492,0.022968161,0.107148561,2000
./Table 3000,0.08878932662500001,0.032744104459499074,0.085418511,0.080911805,0.00191350390625,0.047463561,0.16710076100000001,3000
./Table 4000,0.128182545,0.035231636950718515,0.132196361,0.12110519,0.002057566,0.076018161,0.22011366100000002,4000
./Table 5000,0.1684663139411765,0.0444145890316757,0.16479056100000003,0.16391595941176473,0.00010965,0.122974661,0.267664561,5000
./Table 6000,0.2626599973636364,0.12185856423874585,0.23023876100000001,0.25486079363636366,0.0027993727272727265,0.16774786100000003,0.5436454610000001,6000
./Table 7000,0.2941878943333333,0.06718565734980986,0.278217061,0.2895240966666667,0.00010075416666666666,0.22649896100000003,0.423037061,7000
./Table 8000,0.3866529610000001,0.12495376208727951,0.336880411,0.37554913,0.005871412499999999,0.291755861,0.7005251610000001,8000
./Table 9000,0.49134351100000007,0.25099173738258235,0.413677761,0.47981362999999994,0.0068945175,0.377226761,1.199449061,9000
./Table 10000,0.5843692810000001,0.11585053974708394,0.5616004110000001,0.57725033,0.001968405,0.46000466100000004,0.7818283610000001,10000
./Table 11000,0.7627773310000001,0.28081611474097357,0.666811711,0.7474130299999999,0.0098777175,0.541146961,1.321426561,11000
./Table 12000,0.7916200910000002,0.08175044234934417,0.793298911,0.78378103,0.0030968124999999997,0.6611524610000001,0.9462362610000001,12000
./Table 13000,0.940590461,0.12036550736425924,0.9186566110000001,0.93082423,0.003978312499999999,0.812643061,1.171673661,13000
./Table 14000,1.156474211,0.22102592323250855,1.0648628109999998,1.14928563,0.0029433074999999998,0.9506376610000001,1.655226261,14000
./Table 15000,1.1600807309999999,0.09362351824238573,1.153181561,1.1524990299999998,0.0029229074999999995,1.018533361,1.295544461,15000
./Table 16000,1.417663101,0.1986424999959766,1.354404411,1.4060004299999997,0.0059581175,1.168695061,1.731893061,16000
./Table 17000,1.577425101,0.22822965802496778,1.494798861,1.5645240299999998,0.0088959125,1.335055361,2.040701461,17000
./Table 18000,1.774385551,0.2801432123845249,1.671788311,1.76099453,0.0088898125,1.520481761,2.361649261,18000
./Table 19000,1.9336000309999999,0.10099224029280718,1.939724961,1.91427473,0.01390942,1.781506761,2.104811061,19000
./Table 20000,2.3557365910000003,0.28258865234933916,2.291784361,2.33334943,0.016795625,1.8994019610000001,2.911926761,20000
./Table 21000,2.4495988310000003,0.27184175945206335,2.458524111,2.42016893,0.0239306225,2.085865761,2.878280361,21000
./Table 22000,2.5473040510000002,0.16251686592819603,2.5197057110000003,2.53148003,0.0119708175,2.327862561,2.785106161,22000
./Table 23000,3.082607591,0.31820325199751764,3.142469161,3.03918583,0.03887062499999999,2.6921675609999998,3.606242861,23000
./Table 24000,3.112447531,0.24903953561831657,3.0381141109999996,3.0705446299999997,0.036871525,2.778817161,3.565951761,24000
./Table 25000,3.3172220709999998,0.37914535590469334,3.2347981609999996,3.2767182299999993,0.035915322500000006,2.898513861,4.049596661,25000
./Table 26000,3.6237775809999997,0.3297033992054333,3.495457911,3.57042533,0.0488054225,3.259442161,4.246136461,26000
./Table 27000,4.038299461,0.3605014357695341,3.962003061,3.9683515299999996,0.064917525,3.624991161,4.628446661,27000
./Table 28000,4.050195551,0.47424552704219086,3.9827473110000002,3.982118729999999,0.063778325,3.563435461,5.238704961,28000
./Table 29000,4.498697911,0.34700729353017057,4.431036261,4.42319863,0.07083682499999999,4.067000761,4.972657061,29000
./Table 30000,4.847609121,0.23461633737117468,4.806636811000001,4.76684833,0.07593782499999999,4.510459661,5.231008361,30000
